Name,State,Term,NoEmp,NewExist,CreateJob,RetainedJob,UrbanRural,GrAppv,SBA_Appv
"Costumer Supplies, LLC",LA,28,1,2,1,1,1,10100,5050
BOWERS & SONS HARDWOOD LUMBER,NY,15,12,1,7,12,1,125000,106250
CJ's Towing & Recovery LLC,ID,84,2,1,2,2,2,100000,85000
"KCN, INCORPORATED",VA,70,3,2,2,5,1,15000,7500
Custom Eco Friendly LLC,NY,84,2,1,1,0,1,85000,42500
"Polish, LLC",ID,72,4,1,0,4,1,10000,5000
T AND M SOLAR INC,CA,84,11,1,1,0,1,10000,5000
Jumbo Logistics LLC,OH,84,3,1,0,0,1,100000,50000
McDonell Consulting & Developm,MD,84,4,1,0,4,1,50000,25000
91ST & NO. SS L.L.C.,AZ,240,3,1,1,2,2,3637500,2728125
SYNDICUS INCORPORATED,MD,84,10,1,5,0,2,300000,150000
GOOD FITNESS LLC,CO,48,3,1,0,3,1,67000,56950
MICO MACHINES Inc.,FL,12,4,1,0,4,1,3200000,2880000
"GRANDVIEW LIQUORS, LLC",CA,84,2,1,0,1,1,30000,15000
McDonough's Frisco Aquatics,TX,60,8,1,0,0,1,50000,25000
Allen Poultry,MS,120,3,1,0,3,1,92000,78200
Casper Technology PLLC,NY,84,1,1,1,2,1,250000,125000
"Gator Cove Alligator Farm, Inc",LA,12,3,1,0,0,2,252000,189000
"Kaygee, L.L.C.",MI,84,1,2,0,2,1,10000,5000
"Academy For Career Education,",CA,84,1,1,2,1,1,25000,12500
"CK Opportunities, Inc.",IN,54,2,2,2,0,1,40000,20000
"BIG O DEMING, L.L.C.",NM,12,6,2,0,6,2,20000,10000
COMMUNITY WIRELESS COMMUNICATI,KS,12,6,1,0,0,1,9300,4650
GRANT COUNTY TIRE LLC,NM,12,6,2,0,6,1,50000,25000
"INDUSTRIAL COOLING SOLUTIONS,",CO,12,10,1,5,10,1,2000000,1800000
Frozen Assets Moreno Valley In,CA,120,0,2,8,8,1,275000,206250
AT BEAUTY SUPPLIES INC,NJ,84,4,1,0,0,1,15000,7500
Hngovr LLC,NY,84,2,2,2,0,1,60600,30300
Hngovr LLC,NY,84,2,2,2,0,1,10000,5000
NA,TX,84,2,1,0,2,1,220000,110000
"Guiding Light Partners, Inc. d",TX,125,2,2,20,0,1,411800,308850
"UNITED FLORAL SUPPLY, INC.",OH,84,6,1,2,0,1,50000,25000
Kirk Excavating and Constructi,OH,60,14,1,0,7,1,825000,618750
Shivam CP LLC,NJ,240,3,1,0,3,1,850000,637500
"YMPA, LLC",NY,84,6,1,2,0,1,20000,10000
Spina De Fiori Inc.,NY,84,3,1,2,0,1,20000,10000
DOG RANCH BED & BISCUIT,CA,300,10,1,0,0,1,952500,714375
"Texas Modification Valve, Inc.",TX,84,20,1,0,0,1,115000,57500
"Godfrey Trucking, Inc.",MI,120,1,1,0,0,1,85000,42500
"Cosni International, LLC",CA,120,3,2,2,3,1,366500,274875
SX Discount Supply Inc,OH,84,2,1,0,2,2,100000,50000
White Bear Liquors LLC,MN,84,3,2,1,0,1,137200,68600
"NEAR SPACE SYSTEMS, INC.",CO,12,23,1,7,23,1,1500000,1350000
Pancones Auto LLC,MI,84,3,1,0,0,1,25000,12500
Carpe Diem Math Learning Cente,IL,84,1,2,8,8,1,50000,42500
Integrated Physical Therapy an,IA,90,1,2,1,1,1,125000,106250
"TONKA TRUCKING, INC.",UT,60,1,1,1,0,1,75000,63750
John E. Pfalzer,NY,84,1,1,0,1,1,50000,25000
"Pell Solar, Inc.",CA,84,10,1,3,1,1,100000,50000
Kenyon Pipeline Inspection,NY,84,2,2,0,2,2,60000,30000
Rick Kellison,MO,30,1,1,0,1,2,39600,19800
